Zip;Mean;Pop
1104;43.969;22.078
11040;116.894;39.784
11042;222.478;514
1105;27.144;12.816
11050;163.839;28.714
1106;134.662;15.880
1107;33.974;11.615
1108;48.866;26.060
1109;44.049;30.683
11096;68.941;7.976
11101;51.519;22.556
11102;61.245;35.943
11103;66.421;44.730
11104;61.198;29.376
11105;68.395;42.375
11106;56.437;40.963
11109;151.032;843
1118;62.546;14.283
1119;52.187;13.170
11201;140.858;48.101
11203;60.025;78.886
11204;58.961;74.185
11205;57.437;35.648
11206;38.580;69.454
11207;44.634;87.324
11208;44.515;84.692
11209;78.505;69.646
11210;69.162;67.349
11211;52.061;84.434
11212;37.846;85.400
11213;46.614;65.932
11214;48.902;78.896
11215;109.384;59.307
11216;52.038;55.021
11217;102.950;35.641
11218;61.312;75.418
11219;50.737;85.825
11220;50.271;92.398
11221;46.670;75.020
11222;69.809;40.003
11223;53.996;74.659
11224;45.363;49.491
11225;52.485;61.858
11226;49.673;106.461
11228;73.658;40.169
11229;63.752;80.407
11230;64.348;88.449
11231;95.031;33.174
11232;45.834;22.177
11233;45.327;63.541
11234;77.077;81.033
11235;60.543;79.197
11236;69.801;94.098
11237;43.844;48.837
11238;79.249;49.085
11239;33.975;14.621
1128;66.605;3.040
1129;66.403;6.982
11354;63.009;54.286
11355;50.393;74.434
11356;80.098;20.443
11357;89.657;39.650
11358;80.189;37.044
11360;92.445;18.363
11361;84.896;28.648
11362;89.963;17.509
11363;118.589;6.849
11364;77.367;32.272
11365;73.177;37.503
11366;93.826;13.795
11367;67.846;39.791
11368;54.259;95.662
11369;65.143;37.429
11370;49.034;28.920
11372;58.610;70.946
11373;56.733;99.884
11374;65.130;39.224
11375;89.704;70.142
11377;60.263;87.015
11378;68.915;33.487
11379;76.167;33.886
11385;57.795;95.262
11411;79.342;17.909
11412;77.264;36.433
11413;84.085;39.571
11414;84.306;28.120
11415;70.069;19.423
11416;58.914;21.053
11417;66.183;28.748
11418;66.712;36.587
11419;59.642;44.065
11420;66.551;41.750
11421;66.525;37.664
11422;76.689;26.308
11423;79.561;31.575
11424;74.277;467
11425;73.553;26
11426;87.041;17.445
11427;67.494;21.275
11428;85.684;20.923
11429;82.273;27.816
11430;54.620;197
11432;64.694;54.915
11433;54.771;28.391
11434;59.039;52.603
11435;52.870;47.317
11436;69.595;18.291
11501;90.983;19.466
11507;138.519;7.526
11509;149.930;2.852
1151;50.951;8.302
11510;110.670;32.552
11514;93.244;4.904
11516;121.947;6.997
11518;104.191;11.158
11520;86.328;44.329
11530;187.098;26.753
11542;102.384;27.205
11545;228.119;12.081
11547;141.452;644
11548;316.062;2.445
11550;69.315;58.967
11552;110.131;23.354
